1,340.19,-105.62,3200
2,298.44,411.65,16000
3,-164.78,268.23,8000
4,53.97,-22.60,4000
5,-135.22,13.40,3200
6,416.20,135.71,4000
7,-358.40,106.97,16000
8,-257.11,-362.77,3200
9,-343.32,-99.06,16000
10,-391.19,498.92,16000
11,12.93,339.11,4000
12,-203.97,137.55,4000
13,-6.42,472.78,8000
14,271.36,26.74,3200
15,-99.77,391.53,8000
16,-147.54,307.72,3200
17,-430.24,449.33,4000
18,-413.94,-307.79,4000
19,390.23,-151.11,16000
20,-479.98,-42.30,16000
21,-261.72,470.63,3200
22,350.92,-233.33,4000
23,-124.79,260.25,4000
24,167.72,31.61,16000
25,-62.36,431.84,3200
26,220.95,-215.71,4000
27,139.98,-145.95,4000
28,-334.03,-59.90,3200
29,329.20,-169.66,16000
30,393.37,-149.64,4000
31,456.47,88.64,4000
32,358.68,-60.44,3200
33,-101.56,314.77,4000
34,410.97,-17.51,16000
35,450.25,420.13,16000
36,381.06,141.08,8000
37,119.60,-218.94,3200
38,-192.54,-52.97,16000
39,-312.47,-223.77,4000
40,-83.50,-330.39,3200
41,-396.83,-373.92,8000
42,260.48,484.75,3200
43,184.45,-116.81,4000
44,-131.34,-205.84,16000
45,84.49,-255.59,16000
46,232.15,-374.53,3200
47,-335.90,245.07,16000
48,450.10,-447.47,4000
49,-323.79,-259.94,3200
50,232.65,156.56,3200
51,139.46,259.73,16000
52,-365.10,20.21,16000
53,-430.09,-295.34,8000
54,319.68,73.32,3200
55,-448.06,-342.19,3200
56,-295.67,389.96,16000
57,497.80,-445.94,3200
58,-427.67,-495.84,3200
59,93.89,-319.63,16000
60,-108.31,413.03,3200
61,-140.90,52.49,4000
62,-47.42,187.39,16000
63,30.81,257.29,8000
64,492.23,76.97,3200
65,247.81,128.91,16000
66,247.80,333.24,3200
67,373.27,331.04,3200
68,243.81,403.37,3200
69,166.88,-2.74,16000
70,330.01,388.95,16000
71,149.71,-251.96,4000
72,-270.86,200.62,8000
73,-171.22,-268.57,16000
74,133.07,-276.34,4000
75,10.69,471.47,8000
76,46.11,219.27,16000
77,-28.52,92.54,3200
78,-49.08,-163.65,3200
79,-65.49,-496.77,8000
80,98.48,333.24,16000
81,175.48,-17.05,8000
82,-195.04,212.09,16000
83,121.82,-459.14,8000
84,195.98,173.94,4000
85,-152.88,-315.38,4000
86,127.16,230.73,8000
87,240.44,-297.79,3200
88,184.76,153.13,8000
89,32.44,-412.36,8000
90,377.38,186.12,16000
91,-388.72,-138.40,4000
92,93.21,166.56,8000
93,275.77,-211.62,8000
94,-310.25,484.36,16000
95,327.39,-168.52,16000
96,-63.50,458.64,3200
97,264.87,199.08,16000
98,185.79,-116.17,3200
99,443.05,416.27,3200
100,-296.45,293.66,4000
101,-202.71,404.93,3200
102,373.98,-1.86,4000
103,-337.24,-226.09,3200
104,-7.60,-36.34,3200
105,-4.02,-208.95,16000
106,184.18,227.55,16000
107,103.11,-7.58,3200
108,224.25,-321.79,16000
109,-1.47,-378.74,16000
110,-139.56,-175.19,3200
111,408.48,122.10,3200
112,318.13,-3.93,8000
113,-105.67,158.83,4000
114,-241.09,-348.77,16000
115,-392.15,147.21,8000
116,-211.73,-168.61,16000
117,-72.67,434.49,4000
118,-234.54,158.75,3200
119,-12.57,-342.73,3200
120,125.67,17.71,16000
121,57.56,-73.80,3200
122,-105.61,-255.67,8000
123,229.36,138.65,3200
124,-161.76,397.56,16000
125,-89.21,-494.59,3200
126,274.39,-206.32,16000
127,365.53,221.01,16000
128,-50.89,486.47,4000
129,-289.12,-26.11,3200
130,-406.08,-400.44,8000
131,-198.24,157.12,3200
132,-368.30,-448.49,16000
133,-42.28,280.87,4000
134,-57.44,-380.89,4000
